Simulation
,SimulationName,default,
,NumAgents,100,
,NumArmories,2,
,NumLumberyards,2,
,NumMedStations,0,
,BombardmentRate,5.000000,
,ThreatRate,30.000000,
,StartingThreat,100,
,MapDimensions,"0.000000,0.000000",
,MapName,30x30,
,
,StartingTime,10-16-118_14.3.47,
,IsOptimized,Yes,
,Average Time After 100 iterations (UpdatePlan) 0.002043,10-16-118_14.3.47,
,Iterations per second 0.003102 (UpdatePlan) (total time between: 0.310225),10-16-118_14.3.47,
,Average Time After 100 iterations (Copy path) 0.000009,10-16-118_14.3.50,
,Iterations per second 0.029518 (Copy Path) (total time between: 2.951802),10-16-118_14.3.50,
,Average Time After 100 iterations (Pathing) 0.000106,10-16-118_14.3.57,
,Iterations per second 0.097114 (Pathing) (total time between: 9.711405),10-16-118_14.3.57,
,Average Time After 10000 iterations (Process Action Stack) 0.000829,10-16-118_14.3.59,
,Iterations per second 0.116443 (Process Action Stack) (total time between: 11.644307),10-16-118_14.3.59,
,Average Time After 10000 iterations (Process Action Stack) 0.000832,10-16-118_14.4.10,
,Iterations per second 0.114385 (Process Action Stack) (total time between: 11.438548),10-16-118_14.4.10,
,Average Time After 10000 iterations (Process Action Stack) 0.000841,10-16-118_14.4.22,
,Iterations per second 0.117364 (Process Action Stack) (total time between: 11.736373),10-16-118_14.4.22,
,Average Time After 10000 iterations (Process Action Stack) 0.000841,10-16-118_14.4.33,
,Iterations per second 0.111453 (Process Action Stack) (total time between: 11.145331),10-16-118_14.4.33,
,Average Time After 10000 iterations (Process Action Stack) 0.000829,10-16-118_14.4.44,
,Iterations per second 0.111322 (Process Action Stack) (total time between: 11.132159),10-16-118_14.4.44,
,Average Time After 100 iterations (UpdatePlan) 0.001731,10-16-118_14.4.45,
,Iterations per second 0.578057 (UpdatePlan) (total time between: 57.805744),10-16-118_14.4.45,
,Average Time After 10000 iterations (Process Action Stack) 0.000828,10-16-118_14.4.55,
,Iterations per second 0.112927 (Process Action Stack) (total time between: 11.292712),10-16-118_14.4.55,
,Average Time After 100 iterations (Pathing) 0.000098,10-16-118_14.5.4,
,Iterations per second 0.670698 (Pathing) (total time between: 67.069824),10-16-118_14.5.4,
,Average Time After 10000 iterations (Process Action Stack) 0.000830,10-16-118_14.5.6,
,Iterations per second 0.111175 (Process Action Stack) (total time between: 11.117482),10-16-118_14.5.6,
,Average Time After 10000 iterations (Process Action Stack) 0.000828,10-16-118_14.5.18,
,Iterations per second 0.111048 (Process Action Stack) (total time between: 11.104773),10-16-118_14.5.18,
,Average Time After 100 iterations (Copy path) 0.000016,10-16-118_14.5.23,
,Iterations per second 0.928648 (Copy Path) (total time between: 92.864754),10-16-118_14.5.23,
